town_city,main_location,second_location,address,longitude,latitude,Country,Date of first event,numbers,Site of protest for more than one day?,Source of number estimate
St. louis,Kiener Plaza,,"St. louis,Kiener Plaza,United States",-101.957064,48.023180,United States,1/10/2011,500,Yes,http://stltoday.mycapture.com/mycapture/folder.asp?event=1342393&CategoryID=38578
"St. Louis, Missouri","Kiener Plaza, downtown",,"St. Louis, Missouri,Kiener Plaza, downtown,USA",-79.813202,36.101601,USA,1/10/2011,1000,Yes,http://stlbeacon.org/voices/blogs/political-blogs/beacon-backroom/113601-occupy-st-louis-briefly-occupies-downtown-streets-for-rally-and-march
"St. Louis, MO","Keiner Plaza, 7th & Market",,"St. Louis, MO,Keiner Plaza, 7th & Market,USA",-77.270869,39.382390,USA,October 1st.,1000,Yes,http://stlbeacon.org/voices/blogs/political-blogs/beacon-backroom/113601-occupy-st-louis-briefly-occupies-downtown-streets-for-rally-and-march
St. Petersburg Florida,waterfront,Bank of America,"St. Petersburg Florida,waterfront,USA",-77.021976,38.877331,USA,10/15/2011,,Yes,http://www.wmnf.org/news_stories/st-pete-protesters-tell-motorists-to-move-their-money-out-of-big-banks
Stockholm,Hagsätra metro station,,"Stockholm,Hagsätra metro station,Sweden",23.510094,66.029672,Sweden,Sunday October 4,50,Yes,
"Stockton, California",De Carli Sqaure,,"Stockton, California,De Carli Sqaure,USA",-121.290718,37.953621,USA,12/10/2011,100?,Yes,http://www.recordnet.com/apps/pbcs.dll/article?AID=/20111013/A_NEWS/110130318/-1/a_news07
Stuttgart,Schlossplatz,Schlossgarten,"Stuttgart,Schlossplatz,Germany",9.171920,48.767670,Germany,15.10.2011,5000,Yes,http://bodenfrost.wordpress.com/2011/10/16/occupy-stuttgart-aktionstag-15-oktober/
Stuttgart,Stuttgart Stock Exchange,,"Stuttgart,Stuttgart Stock Exchange,Germany",9.171920,48.767670,Germany,10/15/2011,2000,Yes,http://www.demotix.com/news/875186/occupy-stuttgart
Stuttgart,Börsenplatz,,"Stuttgart,Börsenplatz,Germany",9.171920,48.767670,Germany,10/15/2011,3000,Yes,http://www.stuttgarter-zeitung.de/inhalt.occupy-wall-street-3000-demonstrieren-gegen-macht-der-finanzmaerkte.a15cf973-e721-4acf-a342-350e6f9477eb.html
sydney,martin place,,"sydney,martin place,australia",151.209839,-33.867699,australia,10/15/2011,2000,Yes,http://www.smh.com.au/nsw/support-swells-for-occupy-sydney-protesters-20111018-1lu8r.html
Syracuse,Perseverance Park on S. Salina Street,,"Syracuse,Perseverance Park on S. Salina Street,USA",-76.380821,39.666580,USA,2/10/2011,200,Yes,http://www.syracuse.com/news/index.ssf/2011/10/occupy_syracuse_draws_200-plus.html
"Syracuse, NY",Downtown,,"Syracuse, NY,Downtown,United States",-76.150757,43.048119,United States,3/10/2011,200,Yes,http://www.syracuse.com/news/index.ssf/2011/10/occupy_syracuse_draws_200-plus.html
Tacoma,21st & Pacific Avenue,,"Tacoma,21st & Pacific Avenue,USA",-76.765739,38.260479,USA,October 7th,600,Yes,http://www.thenewstribune.com/2011/10/17/1868067/occupy-tacoma-group-plans-to-stay.html
Tacoma,not sure,,"Tacoma,not sure,USA",-122.441650,47.255131,USA,10/15/2011,300-500,Yes,http://occupytacoma.org/2011/10/10/occupy-tacoma-national-day-of-action-march-saturday-october-15th/#comments
"Tacoma, WA",People's Park & Downtown,,"Tacoma, WA,People's Park & Downtown,USA",-118.250259,34.043310,USA,10/15/2011,1200,Yes,http://www.thenewstribune.com/2011/10/17/1868067/occupy-tacoma-group-plans-to-stay.html
"Tacoma, WA",Firemen's Park,Tollefson Plaza,"Tacoma, WA,Firemen's Park,USA",-100.361334,39.110105,USA,10.7.11,200,No,http://www.thenewstribune.com/2011/10/07/1856108/about-200-gather-in-downtown-tacoma.html
"Taipei, Taiwan",Hsinyi District Administration Building Park (across street from 101 Building),,"Taipei, Taiwan,Hsinyi District Administration Building Park (across street from 101 Building),Taiwan",121.564194,25.080441,Taiwan,10/15/2011,"around 300 people on first day, 10-30 people/day since then 3 people camping overnight",Yes,personal count
Tallahassee,Capitol Building,,"Tallahassee,Capitol Building,USA",-84.280647,30.439770,USA,10/14/2011,300,Yes,http://www.facebook.com/occupytally
Tallinn,Freedom Square,,"Tallinn,Freedom Square,Estonia",24.752600,59.436470,Estonia,10/15/2011,200,No,200 http://news.err.ee/politics/c8afadc4-6d7e-447c-adf1-d9a475d521ee
Tampa Florida,Curtis Hixon Park,Kiley Garden,"Tampa Florida,Curtis Hixon Park,USA",-100.361334,39.110105,USA,9/24/2011,,Yes,http://www.wmnf.org/news_stories/occupy-tampa-holds-first-protest-in-solidarity-with-occupy-wall-street
Tarragona,Plaça Imperial Tarraco,Plaça de la Font,"Tarragona,Plaça Imperial Tarraco,Spain",1.025085,41.058205,Spain,"(probably May 15 2011, news story mentions march on June 19)",12000,No,http://www.diaridetarragona.com/tarragona/060726/tarragona/viu/manifestacio/mes/important/moviment/15m/amb/mes/12000/participants
Tel Aviv,Tel Aviv Museum of Art,Jerusalem,"Tel Aviv,Tel Aviv Museum of Art,Israel",34.785519,32.079762,Israel,"October 25th, 2011",1000,No,http://www.haaretz.com/news/international/israelis-join-in-as-wall-street-protests-go-global-1.390071
Tel Aviv,Rothschild Boulevard,,"Tel Aviv,Rothschild Boulevard,Israel",34.769711,32.045101,Israel,July?,?,Yes,http://www.haaretz.com/news/national/tel-aviv-tent-city-demonstrations-continue-to-draw-hundreds-1.373586
Tel Aviv,Rothchild Avenue,,"Tel Aviv,Rothchild Avenue,Israel",34.769711,32.045101,Israel,7/14/2011,thousands,Yes,http://english.themarker.com/occupy-wall-street-protest-goes-global-1.390150
Temple,Visitor's Center,,"Temple,Visitor's Center,United States",-106.112319,37.752875,United States,11/11/2011,10/30/2011,Yes,http://occupytemple.org
"Temple, Texas","120 W. Central Ave, Temple, TX 76501-7646",,"Temple, Texas,120 W. Central Ave, Temple, TX 76501-7646,USA",-97.315620,31.101267,USA,11/11/2011,10/30/2011,Yes,http://occupytemple.org
The Hamptons,Sag Harbor Windmill,East Hampton Windmill,"The Hamptons,Sag Harbor Windmill,USA",-112.227999,33.597435,USA,10/15/2011,200,Yes,http://www.occupythehamptons.org
Theran,"No. 39, Shahid Mousavi (Golestan 5th), Corner of Paidarfard St. (ex-Amir Ebrahimi St.), Pasdaran",,"Theran,No. 39, Shahid Mousavi (Golestan 5th), Corner of Paidarfard St. (ex-Amir Ebrahimi St.), Pasdaran,Iran",53.682354,32.420650,Iran,10/22/2011,60,Yes,http://www.youtube.com/watch?v=ilFMHRll5QA
Thunder Bay,Waverly Park,,"Thunder Bay,Waverly Park,Canada",-99.969409,50.623685,Canada,10/15/2011,30,No,http://www.tbnewswatch.com/news/169037/Talking-change
Tijuana,Plaza Río,,"Tijuana,Plaza Río,Mexico",-100.213049,25.685005,Mexico,10/15/2011,250,Yes,
Tijuana,Zona Rio,,"Tijuana,Zona Rio,Mexico",-100.213049,25.685005,Mexico,15.10.11,300,Yes,http://www.el-mexicano.com.mx/informacion/noticias/1/3/estatal/2011/10/16/510689/alzan-la-voz-indignados-de-tijuana.aspx
Tillamook,1st & Main St,In front of courthouse.,"Tillamook,1st & Main St,USA",,,USA,10/15/2011,28,Yes,http://www.facebook.com/chazlake (i started it)
"Toledo, OH","Levis Square, Downtown Toledo",,"Toledo, OH,Levis Square, Downtown Toledo,US",-88.244322,39.272384,US,"Monday, October 10",250,Yes,http://www.facebook.com/occupytoledo?sk=wall&filter=1
Toronto,Bay Street,St. James Park,"Toronto,Bay Street,Canada",-79.385330,43.648560,Canada,10/15/2011,3000,Yes,http://www.cbc.ca/news/canada/story/2011/10/15/occupy-canada-saturday.html
Toronto,St James Square,,"Toronto,St James Square,Canada",-79.385330,43.648560,Canada,15th October,200,Yes,http://www.theglobeandmail.com/news/national/toronto/occupy-toronto-protesters-to-focus-tuesday-on-internal-dynamics-rather-than-marches/article2204900/
"Trenton, NJ, USA",State House,,"Trenton, NJ, USA,State House,USA",-103.900509,34.649600,USA,6th October,24,Yes,http://www.nj.com/news/index.ssf/2011/10/small_but_dedicated_group_make.html
Trois-Rivières,parc Champlain,,"Trois-Rivières,parc Champlain,Canada",-74.612546,45.545299,Canada,10/15/2011,50,No,http://www.cyberpresse.ca/le-nouvelliste/actualites/201110/15/01-4457637-occupy-wall-street-manifestation-a-trois-rivieres.php?utm_categorieinterne=trafficdrivers&utm_contenuinterne=cyberpresse_vous_suggere_4457658_article_POS2
Tucson,Armory Park,,"Tucson,Armory Park,US",-110.966850,32.215340,US,10/15/2011,330,Yes,http://azstarnet.com/news/local/downtown/collection_ed29f174-f780-11e0-9449-001cc4c03286.html
"Tucson, Arizona",Armory Park,,"Tucson, Arizona,Armory Park,USA",-110.966850,32.215340,USA,10/15/2011,1000,Yes,http://occupytucson.org
"Tulsa, OK",downtown,,"Tulsa, OK,downtown,USA",-95.991096,36.152889,USA,10/16/2011,100,No,http://www.tulsaworld.com/news/article.aspx?subjectid=11&articleid=20111016_11_A12_Agrass219347
Umea,,,"Umea,,Sweden",20.260780,63.825255,Sweden,10/15/2011,50,Yes,
University of South Florida,campus,,"University of South Florida,campus,USA",-88.306499,41.022980,USA,3/11/2011,50,Yes,http://www.wmnf.org/news_stories/usf-forms-its-own-occupy-group-its-focus-tuition
"Utica, New York",Corner of Genesee & Lafayette Streets,,"Utica, New York,Corner of Genesee & Lafayette Streets,United States",-75.242760,43.095798,United States,10/13/2011,400,Yes,http://www.wktv.com/news/local/First-24-hours-for-Occupy-Utica-protesters-a-bit-rainy--131893128.html
Utrecht,Domplein,,"Utrecht,Domplein,The Netherlands",5.115400,52.088928,The Netherlands,10/15/2011,couple of hundred,Yes,http://ireport.cnn.com/docs/DOC-689295?ref=feeds%2Foncnn
Utrecht,Ganzenmarkt,,"Utrecht,Ganzenmarkt,Netherlands",5.115400,52.088928,Netherlands,10/15/2011,250,Yes,http://www.occupyutrecht.nl/
Valdosta,Drexel Park,Various points throuhout the city,"Valdosta,Drexel Park,USA",-100.361334,39.110105,USA,8/10/2011,200 plus,Yes,http://www.facebook.com/groups/281380861886430/?id=286808508010332&notif_t=group_activity#!/groups/281380861886430/
Valladolid,Plaza Colón,Plaza Mayor,"Valladolid,Plaza Colón,Spain",-4.732120,41.654190,Spain,5/15/2011,8000,Yes,http://www.elnortedecastilla.es/v/20111016/valladolid/protesta-masiva-indignados-pide-20111016.html
Vancouver,Vancouver Art Gallery,,"Vancouver,Vancouver Art Gallery,Canada",-123.120003,49.282902,Canada,15th October,3/1/4000,Yes,http://www.vancourier.com/news/canada-in-afghanistan/Occupy+Vancouver+protest+bleeding+participants/5572154/story.html
"Vancouver, British Columbia",Vancouver Art Gallery,,"Vancouver, British Columbia,Vancouver Art Gallery,Canada",-123.120003,49.282902,Canada,10/15/2011,4000+,Yes,http://www.theglobeandmail.com/news/national/british-columbia/occupy-vancouver-camps-out-at-art-gallery/article2203412/
"Vancouver, British Columbia",Vancouver Art Gallery,,"Vancouver, British Columbia,Vancouver Art Gallery,Canada",-123.120003,49.282902,Canada,10/15/2011,400,Yes,http://www.cbc.ca/news/canada/british-columbia/story/2011/10/16/bc-occupy-vancouver-day-2.html
"Vancouver, Washington",Esther Short Park,Downtown,"Vancouver, Washington,Esther Short Park,USA",-122.674847,45.625769,USA,10/15/2011,700,Yes,http://www.columbian.com/news/2011/oct/15/live-blogging-occupy-vancouver-protest/
Vanouver,Vancouver Art Gallery,,"Vanouver,Vancouver Art Gallery,Canada",-123.120003,49.282902,Canada,"Saturday, October 15",4000,Yes,http://www.theprovince.com/news/Protesters+organized+Occupy+Vancouver+settles+third/5564170/story.html
Victoria,Centennial Square,,"Victoria,Centennial Square,Canada",-123.364510,48.428310,Canada,10/15/2011,1000,Yes,http://www.bclocalnews.com/news/132021373.html
Victoria BC Canada,Centennial Square,,"Victoria BC Canada,Centennial Square,Canada",-123.364510,48.428310,Canada,October 15th,1500,Yes,http://wrightresult.com/2011/10/social-media-root-occupy-movement/
"Victoria,",Spirit Square,BC Legislature,"Victoria,,Spirit Square,Canada",-123.364510,48.428310,Canada,October 15th,1200,Yes,http://occupyvictoria.ca/
"Victoria, BC",Centennial Square,,"Victoria, BC,Centennial Square,Canada",-123.364510,48.428310,Canada,10/15/2011,1000,Yes,http://www.bclocalnews.com/news/132021373.html
Vienna,Westbahnhof,Heldenplatz,"Vienna,Westbahnhof,Austria",16.333700,48.196800,Austria,11/15/2011,300,No,http://derstandard.at/1318461374398/Occupy-Wall-Street-in-Wien-Gemma-Wall-Street-schaun
Vienna,Heldenplatz,,"Vienna,Heldenplatz,Austria",16.368799,48.202541,Austria,10/15/2011,2000,No,http://derstandard.at/1318461374398/Occupy-Wall-Street-in-Wien-Gemma-Wall-Street-schaun
Vigo,Porta do Sol,,"Vigo,Porta do Sol,Spain",-8.425629,42.776516,Spain,5/15/2011,30000,Yes,http://www.vigoalminuto.com/2011/10/15/mas-indignados-que-nunca-acuden-a-la-llamada-del-15o-y-abarrotan-las-calles-de-vigo/
"Walla Walla, Washington",Heritage Park,,"Walla Walla, Washington,Heritage Park,USA",-100.361334,39.110105,USA,10/16/2011,50,Yes,http://union-bulletin.com/stories/2011/10/17/occupy-movement-spreads-to-valley
Wellington,Wellington City,,"Wellington,Wellington City,New Zealand",174.767136,-41.280540,New Zealand,10/15/2011,300 (on day); 50 overnight,Yes,http://www.stuff.co.nz/dominion-post/news/5811066/Protesters-hope-to-stay-till-election
Wellington,Civic Square,expanding to Illot Green today,"Wellington,Civic Square,New Zealand",174.767136,-41.280540,New Zealand,Oct 15th,"80 residents, 300 attendees",Yes,http://www.stuff.co.nz/dominion-post/news/5817450/Welcome-to-Occupy-Wellington
Wenatchee,"Bank of America, Downtwon",Centennial Park,"Wenatchee,Bank of America, Downtwon,USA",-120.304893,47.414181,USA,7/10/2011,45,Yes,https://www.facebook.com/groups/occupywenatchee/
"Whitehorse, Yukon",Legislative building lawn,,"Whitehorse, Yukon,Legislative building lawn,Canada",-55.545734,46.941019,Canada,10/15/2011,25,Yes,
Wichita,Douglas & Broadway,Dockum Memorial,"Wichita,Douglas & Broadway,United States",-79.052979,35.457383,United States,2/10/2011,300,Yes,http://www.kansas.com/2011/10/03/2046125/occupy-wichita-group-forms-on.html
wilmington Delaware,Rodney Square,,"wilmington Delaware,Rodney Square,usa",-68.307109,47.093990,usa,"Oct. 15, Rally to support Occupy-delaware","150 rallied, 1000 supporters",Yes,www.occupy-delaware.com
Winnipeg,Memorial Park,Manitoba Legislative Building,"Winnipeg,Memorial Park,Canada",-99.969409,50.623685,Canada,10/15/2011,400,Yes,http://www.cbc.ca/news/canada/manitoba/story/2011/10/15/mb-occupy-winnipeg-111015.html ; http://350orbust.wordpress.com/2011/10/18/cold-prairie-winds-not-enough-to-drive-winnipeg-occupiers-out-of-memorial-park/
"Winston-Salem, NC",,,"Winston-Salem, NC,,",-80.241094,36.099625,,,600,Yes,http://occupywinstonsalem.org/
Yakima,Milennium Plaza,2nd Street Park,"Yakima,Milennium Plaza,United States",-101.957064,48.023180,United States,"October 16th, 2011",100,Yes,http://www.yakima-herald.com/stories/2011/10/22/occupy-yakima-sees-reduced-crowd-for-second-weekend-rally
"Yakima, WA",Milennium Plaza,,"Yakima, WA,Milennium Plaza,WA",-117.380532,47.331938,WA,10/15/2011,100,Yes,http://www.yakima-herald.com/stories/2011/10/15/occupy-wall-street-movement-goes-local-and-global
"Youngstown, OH",Central Square,,"Youngstown, OH,Central Square,United States",-76.145814,43.285545,United States,10/15/2011,300,Yes,http://www.crescent-news.com/ap%20state/2011/10/15/ohio-occupation-protests-grow-spread
"Youngstown, Ohio",Federal Plaza,,"Youngstown, Ohio,Federal Plaza,United States",-101.957064,48.023180,United States,10/15/2011,,Yes,
Ypsilanti,,8085 Jack Pine Drive,"Ypsilanti,,United States",-83.613089,42.240880,United States,,,Yes,
Zurich,Paradeplatz,"Bern, Basel","Zurich,Paradeplatz,Switzerland",8.539550,47.377060,Switzerland,Saturday 15.10.2011,"Zurich (1,000 - figures also mentioned in French newswires. Bern 50, Basel 100",Yes,http://www.swissinfo.ch/eng/politics/Swiss_Indignados_take_to_streets.html?cid=31356288
Zurich,Paradeplatz,Lindenhof,"Zurich,Paradeplatz,Switzerland",8.539550,47.377060,Switzerland,15.10.2011,1500,Yes,http://worldradio.ch/wrs/news/switzerland/occupy-wall-street-protestors-march-in-swiss-citie.shtml?27015
Aarhus,,,Aarhus Denmark,10.204880,56.152975,Denmark,,,Yes,
Adelaide,Victoria Square,,"Victoria Square, Adelaide, Australia",138.599426,-34.927650,Australia,"Saturday 15th October, 2011",200,No,http://www.occupyadelaide.org/
"Akron, Ohio",downtown,,"downtown Akron, Ohio united states",-81.522743,41.070610,united states,10/15/2011,none given,Yes,http://www.dispatch.com/content/stories/national_world/2011/10/16/occupy-protests-go-global-for-day.html
"Albany, Ny",State capital,,"State capital Albany, Ny albany",-122.298004,37.887285,albany,don't know,alot lol,Yes,timesunion.com
"Albuquerque, New Mexico",Yale Park- University of New Mexico,,"Yale Park- University of New Mexico Albuquerque, New Mexico USA",-106.648639,35.084180,USA,"October 6th, 2011",500,Yes,http://www.koat.com/video/29507000/detail.html
"Allentown, pa",7th and Hamilton,,"7th and Hamilton Allentown, pa usa",-75.471725,40.593750,usa,3/10/2011,120+,Yes,sign in sheets
"Amarillo, Texas",Chase Building,,"Chase Building Amarillo, Texas USA",-101.833894,35.207255,USA,10/15/2011,125,Yes,hand count
"Ames, IA",Iowa State University,Tom Evans Park,"Iowa State University Ames, IA USA",-93.648331,42.026112,USA,10/13/2011,300,Yes,
Amsterdam,Beursplein,,Beursplein Amsterdam Netherlands,4.895390,52.374130,Netherlands,10/15/2011,1500,,http://www.occupyamsterdam.nl/
Anchorage Alaska,Town Sq.,,Town Sq.  Anchorage Alaska USE,-149.478432,61.129551,USE,oct 8tht,60-100,Yes,Anchorage Daily news.
Ann Arbor,Liberty Plaza,,Liberty Plaza Ann Arbor United States,-83.774468,42.275192,United States,6/10/2011,16-300,Yes,http://occupyannarbor.org/
Annecy,Town Hall,,Town Hall Annecy France,6.128889,45.898784,France,10/15/2011,100,Yes,
Antwerp,Groenplaats,,"Groenplaats, Antwerp, Belgium",4.402270,51.218415,Belgium,10/22/2011,,No,http://occupyantwerp.bbforum.be/
"Asheville, North Carolina",prichard park,pack square,"prichard park Asheville, North Carolina united states",-82.553144,35.598460,united states,,,Yes,
"Ashland, Oregon",Plaza,,"Plaza Ashland, Oregon USA",-122.680564,42.177155,USA,6/10/2011,250-300 (tv news report),Yes,http://www.dailytidings.com/apps/pbcs.dll/article?AID=/20111006/NEWS/110060321
Astoria,,,Astoria USA,-90.350984,40.226855,USA,10/28/2011,,Yes,
Athens,Syntagma Square,,Syntagma Square Athens,23.733780,37.977291,,10/15/2011,4000,,Reuters
"Athens, Ohio",Ohio University campus,,"Ohio University campus Athens, Ohio USA",-82.104440,39.328502,USA,10/16/2011,50,Yes,
Atlanta,Woodruff Park,Troy Davis Park,Woodruff Park Atlanta United States,-84.389198,33.754999,United States,10/10/2011,150,Yes,http://www.ajc.com/news/atlanta/occupy-atlanta-protesters-say-1203215.html
Auckland,Aotea Square,Auckland University,Aotea Square Auckland New Zealand,175.043320,-36.709249,New Zealand,10/15/2011,3000,,Reuters
"Augusta, GA",Augusta Common,,"Augusta Common Augusta, GA USA",-82.002523,33.379671,USA,12/10/2011,70,Yes,http://www.wrdw.com/home/headlines/Activists_gearing_up_for_todays_Occupy_Augusta_event_131625403.html
"Augusta, Maine",Maine Capitol Building,,"Maine Capitol Building Augusta, Maine United States of America",-69.776218,44.318036,United States of America,10/15/2011,115,Yes,http://www.onlinesentinel.com/news/Wall-Street-protests-spread-to-Maine-capital-.html
"Austin, Texas","City Hall, 301 W 2nd St (City Hall)",TX,"City Hall, 301 W 2nd St (City Hall) Austin, Texas United States",-97.742984,30.267605,United States,6/10/2011,1500,Yes,http://www.hilltopviewsonline.com/news/occupy-movement-reaches-austin-city-hall-1.2641599#.TpzddJxZhtM
Bakersfield,Chester and Truxtun (Liberty Bell),,Chester and Truxtun (Liberty Bell) Bakersfield United States,-119.018769,35.373270,United States,10/15/2011,185,Yes,http://www.facebook.com/groups/wearethe99percent/
Baltimore,McKeldin Square/Inner Harbor,,McKeldin Square/Inner Harbor Baltimore United States,-76.609264,39.290585,United States,4/10/2011,200+,Yes,http://www.wbaltv.com/money/29416249/detail.html
Barcelona,Plaza de Catalunya,Arc de Triomf,Plaza de Catalunya Barcelona Spain,2.170185,41.385830,Spain,10/15/2011,350000,,http://www.elperiodico.com/es/noticias/sociedad/miles-indignados-congregan-plaza-catalunya-barcelona-1183302
Bellingham,Magnolia Street and Cornwall Street,,Magnolia Street and Cornwall Street Bellingham United States,-122.477669,48.750760,United States,October 7th,600,Yes,14
"Bellingham, Washington",Maritime Heritage Park,Federal Building,"Maritime Heritage Park Bellingham, Washington United States",-122.484329,48.753550,United States,7/10/2011,300,Yes,http://www.bellinghamherald.com/2011/10/14/2228773/about-300-march-downtown-in-occupy.html
Bemidji,Paul and Babe Statue,Carnegie Library Building,Paul and Babe Statue Bemidji United States,-94.829998,47.381187,United States,Oct 15th,30,No,
Beograd,,,Beograd Serbia,20.462419,44.812372,Serbia,,,Yes,
"Berkeley, California","Bank of America, 2129 Shattuck Avenue",MLK Civic Center Park,"Bank of America, 2129 Shattuck Avenue Berkeley, California USA",-122.270539,37.869885,USA,8/10/2011,200,Yes,http://berkeley.patch.com/articles/occupy-berkeley-takes-to-the-streets
Berlin,Reichstag Parliament Building,,"Reichstag Parliament Building, Berlin, Germany",13.389855,52.498890,Germany,Oct 15th 2011,Hundreds,Yes,http://www.treehugger.com/files/2011/10/occupy-berlin-evicted-police-111016.php
Berlin,Alexanderplatz,,Alexanderplatz Berlin Germany,13.413360,52.521405,Germany,10/15/2011,10000,,http://www.faz.net/aktuell/wirtschaft/wirtschaftspolitik/occupy-demonstrationen-angst-vor-dem-untergang-11494323.html
Bern,Heiliggeistkirche,Bundesplatz,Heiliggeistkirche Bern Switzerland,7.440461,46.948432,Switzerland,15th October 2011,50,No,http://www.derbund.ch/bern/Occupy-Wall-Street-hat-Bern-erreicht--beinahe/story/29295800
Bilbao,Plaza Arriaga,Sagrado Corazon to Plaza Arriaga,Plaza Arriaga Bilbao Spain (Basque Country),-2.924019,43.259485,Spain (Basque Country),3/15/2011,,Yes,
"Billings, Montana",County Courthouse,,"County Courthouse Billings, Montana USA",-108.505794,45.783975,USA,10/15/2011,50,Yes,
"Binghamton, NY, USA",Corner of Court & State Sreets,,"Corner of Court & State Sreets Binghamton, NY, USA United states of America",-75.903717,42.101751,United states of America,10/15/2011,100,Yes,http://www.wbng.com/news/local/Occupy-Binghamton-Moves-IN-131923733.html
Birmingham,Victoria Square,,Victoria Square Birmingham UK,-1.902207,52.479414,UK,10/15/2011,100,Yes,http://www.facebook.com/pages/Occupy-Birmingham-UK/154845231274653
"Bismarck, ND",,,"Bismarck, ND usa",-100.779334,46.805372,usa,,,Yes,
"Bloomington, IN",People's Park,March through town to Chase Bank,"People's Park Bloomington, IN USA",-86.547224,39.142520,USA,9/10/2011,200,Yes,http://www.idsnews.com/news/story.aspx?id=83348
"Boca Raton, Florida",Florida Atlantic University,,"Florida Atlantic University Boca Raton, Florida USA",-80.101334,26.371811,USA,10/13/2011,100,No,http://www.wptv.com/dpp/news/region_s_palm_beach_county/boca_raton/florida-atlantic-university-students-rally-to-add-their-voices-to-occupy-wall-street-movement
Bochum,Husemann Square,,Husemann Square Bochum Germany,7.216125,51.479835,Germany,10/15/2011,500,,"http://www.dorstenerzeitung.de/lokales/bochum/Demonstranten-wettern-gegen-Banken;art932,1438835"
Bogota,National Park,,National Park Bogota Colombia,-74.113564,4.636355,Colombia,10/15/2011,70,,http://www.abc.com.py/nota/indignados-en-latinoamerica-piden-ser-escuchados/
Boston,Dewey Square,,Dewey Square Boston United States,-71.077084,42.316755,United States,Sept. 30,1000,Yes,http://www.boston.com/Boston/metrodesk/2011/10/boston-police-warn-protesters-leave-greenway-tonight-moved-out/AS0JWIbXTp9Gn4jZKmfo2J/index.html
Boston,Rose Kennedy Greenway,,Rose Kennedy Greenway Boston USA,-83.786294,30.795609,USA,1/10/2011,300,Yes,http://blastmagazine.com/the-magazine/features/enterprise-articles/entrenched-in-occupy-boston-at-the-end-of-week-two/
"Boulder, CO",Pearl Street,University of Colorado at Boulder,"Pearl Street Boulder, CO Unites States",-81.783334,32.448915,Unites States,10/15/2011,500,No,http://www.dailycamera.com/boulder/ci_19120896
Bratislava,Hviezdoslavovo n√°mestie,,Hviezdoslavovo n√°mestie Bratislava Slovakia,17.104356,48.130686,Slovakia,15.10.2011,1000,No,http://www.sme.sk/c/6099081/protestovalo-sa-aj-pred-sidlom-penty.html
Brattleboro,Wells Fountain Park,,Wells Fountain Park  Brattleboro United States,-72.558881,42.854069,United States,,100,No,http://www.reformer.com/localnews/ci_19128301
Brisbane,Post Office Square,,Post Office Square Brisbane Australia,153.026932,-27.467093,Australia,10/15/2011,200,Yes,http://www.news.com.au/about-100-turn-out-as-us-occupy-wall-street-protest-hits-brisbane/story-e6freoof-1226167349037
Bristol,College Green,,College Green Bristol UK,-2.598520,51.452307,UK,10/16/2011,150,Yes,http://www.bristol247.com/2011/10/17/occupy-bristol-protesters-set-up-camp-at-college-green/
British Columbia,Vancouver,Victoria,"Vancouver, British Columbia, Canada",-123.114034,49.260440,Canada,OCTOBER 15th,3000,Yes,http://thetyee.ca/News/2011/10/15/OccupyVancouver/
"Brooklyn, NY",Grand Army Plaza,,"Grand Army Plaza Brooklyn, NY USA",-73.969029,40.672895,USA,10/15/2011,150,No,self-counted
Bruges,Stationsplein,,"Bruges, Stationsplein, Belgium",3.224510,51.208481,Belgium,10/29/2011,,No,http://www.meetup.com/occupytogether/Brugge-BE/
Brussels,Schuman roundabout,,Schuman roundabout Brussels Belgium,4.349685,50.848385,Belgium,10/15/2011,6500,,http://www.tijd.be/nieuws/politiek_economie_internationaal/Occupy_Brussel_lokt_6_500_betogers.9116083-3466.art?ckc=1
Bucharest,Unirii Square,,Unirii Square Bucharest Romania,26.153691,44.400976,Romania,10/15/2011,70,No,http://www.romanialibera.ro/actualitate/bucuresti/foto-occupy-bucharest-cum-a-decurs-protestul-indignatilor-din-bucuresti-241208.html
Budapest,De√°k Square,,De√°k Square Budapest Hungary,19.064820,47.506225,Hungary,10/15/2011,1000,No,http://www.facebook.com/pages/VIL%C3%81GFORRADALOM-2011-OKT-15/289531474406634
Budapest,Erzs√©bet square-Szabads√°g square,P√©cs,Erzs√©bet square-Szabads√°g square Budapest Hungary,19.064820,47.506225,Hungary,Oct .15th,1500-2000,No,"different sources,different numbers - estimated by ""professional"" demonstrators"
Buenos Aires,Plaza del Congreso,,Plaza del Congreso Buenos Aires Argentina,-58.400000,-34.616671,Argentina,10/15/2011,3000,No,http://www.lanacion.com.ar/1415002-en-la-argentina-los-indignados-tambien-marcharon-en-apoyo-al-15-o
"Buffalo, NY","Niagara Square, Buffalo",,"Niagara Square, Buffalo Buffalo, NY USA",-78.878464,42.885440,USA,8/10/2011,200,Yes,http://www.buffalonews.com/city/communities/downtown/article587286.ece
Cairns,,,Cairns Australia,145.775970,-16.926460,Australia,10/16/2011,,No,
Cairo,,,Cairo,31.248600,30.049950,,10/15/2011,,,
Calgary,Olympic Plaza,St. Patrick‚Äôs Island,Olympic Plaza Calgary Canada,-114.003054,50.982985,Canada,10/15/2011,300-400,Yes,http://www.canadianbusiness.com/article/51058--occupy-protests-on-prairies-draw-hundreds-crowd-includes-seniors-children
