town_city,main_location,second_location,address,longitude,latitude,Country,Date of first event,numbers,Site of protest for more than one day?,Source of number estimate
Paisley,Cotton St,,"Paisley,Cotton St,",,,,10/20/2011,1,Yes,http://www.paisleydailyexpress.co.uk/renfrewshire-news/local-news-in-renfrewshire/paisley-news/2011/10/21/jimmy-sets-up-camp-87085-29632782/
Palma de Mallorca,Passeig des Born,Plaça d'Espanya,"Palma de Mallorca,Passeig des Born,Spain",2.646940,39.571480,Spain,10/15/2011,10000,Yes,http://www.diariodemallorca.es/mallorca/2011/10/15/miles-indignados-exigen-palma-cambio-global/712000.html?pCom=2#EnlaceComentarios
"Palo Alto, California",Bank of America,El Camino Real,"Palo Alto, California,Bank of America,USA",-122.403763,37.792099,USA,12/10/2011,150,Yes,http://www.mercurynews.com/peninsula/ci_19102940
Paris,La Défense,,"Paris,La Défense,France",2.237180,48.891585,France,11/4/2011,hundreds,Yes,http://www.lemonde.fr/societe/article/2011/11/04/le-quartier-de-la-defense-cible-des-indignes_1599262_3224.html
"Pasadena, California",Bank of America,Chase Manhattan Bank,"Pasadena, California,Bank of America,USA",-94.539926,33.812394,USA,12/10/2011,100,Yes,http://www.pasadenastarnews.com/ci_19099995
"Pensacola, FL",MLK Plaza,Dolce Vita Parking Lot,"Pensacola, FL,MLK Plaza,USA",-101.957064,48.023180,USA,8/10/2011,500,Yes,http://www.pnj.com/comments/article/20111016/NEWS01/110160323/Protesters-Occupy-Pensacola
"Peoria, Illinois",Liberty Park,Main and University Streets,"Peoria, Illinois,Liberty Park,United States",-100.361334,39.110105,United States,10/15/2011,300,Yes,http://www.pjstar.com/news/x1069154897/Occupy-Peoria-just-getting-going-with-first-rally
Perth,Forrest Place,,"Perth,Forrest Place,Australia",115.859550,-31.951750,Australia,10/15/2011,200,Yes,http://www.perthnow.com.au/business/business-old/hundreds-rally-against-corporate-greed/story-e6frg2qu-1226167448468
Philadelphia,City Hall,University of Pennsylvania (Wharton School),"Philadelphia,City Hall,USA",-75.163612,39.952751,USA,6/10/2011,1000,Yes,http://articles.philly.com/2011-10-05/news/30247039_1_protesters-silent-majority-city-hall
Phoenix,Cesar Chavez Plaza,,"Phoenix,Cesar Chavez Plaza,USA",-101.957064,48.023180,USA,10/16/2011,2500,Yes,http://www.facebook.com/occupyphoenix?sk=wall
Pittsburgh,Mellon Green,Market Square,"Pittsburgh,Mellon Green,USA",-96.998369,39.431455,USA,10/15/2011,3000,Yes,http://pine-richland.patch.com/articles/occupy-pittsburgh-march-and-rallies-draw-thousands-to-hill-downtown-2f8ca4fc
Pocatello,Caldwell Park,Simplot Square,"Pocatello,Caldwell Park,United States",-100.361334,39.110105,United States,7/10/2011,,Yes,http://www.facebook.com/profile.php?id=1567242336#!/groups/165589080194476/
"Point Reyes Station, California",Wells Fargo Bank,Town Commons,"Point Reyes Station, California,Wells Fargo Bank,USA",-71.837894,42.750565,USA,9/10/2011,40 every Sunday,Yes,occupypointreyes.org
Poitiers,Place du Marché Notre-Dame,Place de la Liberté,"Poitiers,Place du Marché Notre-Dame,France",-0.312883,46.702666,France,20 mai 2011,85,Yes,http://www.democratiereelle86.fr/
"Port Angeles, WA",Veterans Park,,"Port Angeles, WA,Veterans Park,USA",-100.361334,39.110105,USA,10.15.11,200,Yes,http://www.peninsuladailynews.com/article/20111016/NEWS/310169985
Port Aransas,,,"Port Aransas,,United States, Texas",-97.068207,27.835979,"United States, Texas",october 15th,1,Yes,
Portland,Chapman Square,Lawnsdale Square,"Portland,Chapman Square,United States",-68.307109,47.093990,United States,6/10/2011,200+,Yes,http://occupypdx.org/occupation/
Porto,City Hall,,"Porto,City Hall,Portugal",-8.610340,41.149380,Portugal,10/15/2011,20000,No,
"Poughkeepsie, NY",Hulme Park,,"Poughkeepsie, NY,Hulme Park,US",-100.361334,39.110105,US,10/15/2011,100,Yes,http://www.thehudsonvalleynews.com/HVNews/this_week/Entries/2011/10/26_Occupy_Poughkeepsie.html#40
Prince George,City Hall,,"Prince George,City Hall,Canada",-122.745087,53.912350,Canada,10/22/2011,100,No,http://www.opinion250.com/blog/view/21825/1/prince+george+is+'occupied'
Prishtina,Mother Teresa Square,,"Prishtina,Mother Teresa Square,Kosovo",21.150040,42.669830,Kosovo,10/15/2011,40,No,https://twitter.com/#!/GentThaci/status/125246527068319745
"Providence, Rhode Island",Burnside Park,,"Providence, Rhode Island,Burnside Park,USA",-100.361334,39.110105,USA,10/15/2011,1000,Yes,http://www.boston.com/news/local/rhode_island/articles/2011/10/15/occupy_providence_to_set_up_camp_at_city_park/
"Pueblo, Colorado",Courthouse,8th and Main,"Pueblo, Colorado,Courthouse,USA",-77.238159,38.914185,USA,October 7th,100,Yes,http://www.chieftain.com/news/local/locals-join-occupy-wall-street-movement/article_aba6ff3e-f169-11e0-86c2-001cc4c03286.html
pula,portarata square,forum,"pula,portarata square,croatia",13.849430,44.865791,croatia,15.10.2011,300,No,http://www.glasistre.hr/istra/vijest/343636
Québec,Place de l'Université du Québec,,"Québec,Place de l'Université du Québec,Québec",-71.219359,46.812749,Québec,22 octobre,250,Yes,
Quito,Plaza San Francisco,Plaza Foch,"Quito,Plaza San Francisco,Ecuador",-78.524277,-0.229500,Ecuador,10/15/2011,100,No,www.ocupaquito.org
Raleigh,capital building,moore square,"Raleigh,capital building,usa",-78.642670,35.785511,usa,na,200,Yes,http://www.facebook.com/OccupyRaleigh
"Rapid City, South Dakota",Main St. Square,,"Rapid City, South Dakota,Main St. Square,USA",-68.307109,47.093990,USA,Oct. 15th,80-100,Yes,http://www.facebook.com/media/set/?set=a.164776853613587.38873.158734690884470&type=3
"Redding, California",Safeway,Cypress Avenue,"Redding, California,Safeway,USA",-119.270229,37.271875,USA,10/15/2011,200,Yes,http://www.redding.com/news/2011/oct/15/occupy-redding-ralliers-decry-greed-marchers-on/
Regina,Victoria Park,,"Regina,Victoria Park,Canada",-99.969409,50.623685,Canada,10/15/2011,100,Yes,http://www.cbc.ca/news/canada/saskatchewan/story/2011/10/16/occupy-saskatoon-regina-campouts.html
Reykjavik,Austurvöllur,Lækjartorg,"Reykjavik,Austurvöllur,Iceland",-21.933989,64.147415,Iceland,15.10.2011,2000,No,http://www.svipan.is/?p=26088
"Richland, Washington",John Dam Center,,"Richland, Washington,John Dam Center,USA",-106.112319,37.752875,USA,10/15/2011,300,Yes,http://union-bulletin.com/stories/2011/10/17/occupy-movement-spreads-to-valley
Richmond,"Kanawha Plaza, 8th and Canal",Virginia,"Richmond,Kanawha Plaza, 8th and Canal,USA",-82.004337,33.506426,USA,10/15/2011,400,Yes,http://occupyrichmondva.org/
"Richmond, Virginia",Kanawha Plaza,Monroe Park,"Richmond, Virginia,Kanawha Plaza,USA",-101.957064,48.023180,USA,10/15/2011,300,Yes,http://www2.timesdispatch.com/news/2011/oct/15/7/demonstrators-begin-filling-monroe-park-ar-1386631/
Rijeka,Jadran Square,,"Rijeka,Jadran Square,Croatia",,,Croatia,10.15.11,300,No,http://www.novilist.hr/Vijesti/Rijeka/U-Rijeci-300-prosvjednika-u-Zagrebu-sve-zavrsilo-za-sat-vremena
Rochester,Liberty Pole,,"Rochester,Liberty Pole,United States",-90.916042,43.485223,United States,,150,Yes,http://occupyrochester.org/
Rockford,Chase Bank,Beatti Park,"Rockford,Chase Bank,United States",-71.837894,42.750565,United States,4/10/2011,198,Yes,http://occupyrockford.org/
Rotterdam,Beursplein,Meent,"Rotterdam,Beursplein,The Netherlands",4.478450,51.922829,The Netherlands,10/15/2011,?,Yes,
Saguenay,parc du Bassin,,"Saguenay,parc du Bassin,Canada",,,Canada,10/15/2011,tens of people,No,http://www.cyberpresse.ca/le-quotidien/actualites/201110/15/01-4457646-une-manifestation-pacifique-a-saguenay.php?utm_categorieinterne=trafficdrivers&utm_contenuinterne=cyberpresse_vous_suggere_4457658_article_POS1
Saint-Etienne,Place de l'Hôtel de Ville,Place Jean Jaurès,"Saint-Etienne,Place de l'Hôtel de Ville,France",-0.662954,45.185925,France,10/15/2011,40,Yes,http://www.zoomdici.fr/actualite/Les-indignes-stephanois-ne-mobilisent-pas-les-foules-id113305.html#commentlist
Salamanca,Salamanca,,"Salamanca,Salamanca,Spain",-5.663849,40.964225,Spain,4/17/2011,10000,Yes,http://acampadasalamanca.blogspot.com/2011/10/para-hacer-un-recuento-de-la-asistencia.html
"Salem, Oregon",Willson Park (State Capitol Grounds),,"Salem, Oregon,Willson Park (State Capitol Grounds),USA",-100.361334,39.110105,USA,10/10/2011,300,Yes,http://www.statesmanjournal.com/article/20111011/NEWS/110110337
Salmon,City Park by River,305 Washington Street,"Salmon,City Park by River,83467",-113.892869,45.105860,83467,Salmon,28,Yes,Calvin Leman
"Salt Lake City, Utah, USA",,,"Salt Lake City, Utah, USA,,USA",-111.888229,40.759505,USA,,,Yes,http://occupyslc.org/
Salvador,Ondina,,"Salvador,Ondina,Brasil",-3.693000,40.453922,Brasil,10/12/2011,20,Yes,http://mais.uol.com.br/view/dkdzd418khaa/indignados-em-salvador-na-bahia-04024E1A3372E0892326
Salzburg,Nationalbank,,"Salzburg,Nationalbank,Austria",13.043370,47.800671,Austria,10/15/2011,200,No,"http://www.nachrichten.at/nachrichten/weltspiegel/art17,737864"
San Antonio,Main Plaza,,"San Antonio,Main Plaza,United States",-101.957064,48.023180,United States,10/15/2011,200,No,http://www.mysanantonio.com/news/local_news/article/Revolution-stirs-at-fitting-location-2220506.php
San Diego,Civic Center,,"San Diego,Civic Center,United States",-106.112319,37.752875,United States,7/10/2011,2000,Yes,http://www.facebook.com/#!/pages/Occupy-San-Diego/198003106936678
San Francisco,Justin Herman Plaza,Civic Center,"San Francisco,Justin Herman Plaza,USA",-122.394024,37.794346,USA,17th Sept,4000,Yes,http://venturebeat.com/2011/10/17/hackathon-occupy-wall-street/
San Francisco,City Hall,Federal Reserve Building,"San Francisco,City Hall,USA",-113.196387,46.589056,USA,10/13/2011,5000,Yes,http://www.huffingtonpost.com/2011/10/16/occupy-san-francisco-week-four_n_1014211.html
"San Francsico, CA",Federak Reserve Bank,,"San Francsico, CA,Federak Reserve Bank,United States",-71.837894,42.750565,United States,,,Yes,http://occupysf.com/
"San Jose, California",Cty Hall Plaza,,"San Jose, California,Cty Hall Plaza,United States",-101.957064,48.023180,United States,10/16/2011,,Yes,
"San Jose, California",City Hall,,"San Jose, California,City Hall,United States of America",-117.771679,35.231464,United States of America,October 2nd,300+,Yes,http://www.mercurynews.com/breaking-news/ci_19077863
"San Jose, California",City Hall,,"San Jose, California,City Hall,USA",-117.771679,35.231464,USA,2/10/2011,100,Yes,http://www.insidebayarea.com/news/ci_19163661
San Juan,Milla de Oro,,"San Juan,Milla de Oro,Puerto Rico",-66.106651,18.466169,Puerto Rico,10/15/2011,200,Yes,http://news.yahoo.com/puerto-rico-launches-own-occupy-wall-street-192307048.html
San Juan,"Hato Rey, Bank District",,"San Juan,Hato Rey, Bank District,Puerto Rico",-66.106651,18.466169,Puerto Rico,10/15/2011,200,Yes,http://www.elnuevodia.com/marchasilenteenelcentrodehatorey-1093822.html
"San Luis Obispo, California",Higuera Street,,"San Luis Obispo, California,Higuera Street,USA",-76.379189,39.667980,USA,10/15/2011,'long line of people',Yes,http://www.sanluisobispo.com/2011/10/15/1797549/occupy-wall-street-march-in-san.html
"San Marcos, Texas",Texas State University - San Marcos,,"San Marcos, Texas,Texas State University - San Marcos,USA",-97.937782,29.885870,USA,5/10/2011,100,Yes,http://www.facebook.com/pages/OCCUPY-TEXAS-STATE/299904963356505
"Santa Barbara, CA",De La Guerra Plaza,,"Santa Barbara, CA,De La Guerra Plaza,USA",-101.957064,48.023180,USA,6/10/2011,400,Yes,http://www.examiner.com/central-coast-democrat-in-los-angeles/occupy-santa-barbara-marches
Santa Cruz,Superior Courthouse,,"Santa Cruz,Superior Courthouse,USA",-77.238159,38.914185,USA,9/1/2011,100,Yes,http://occupysantacruz.org/
Santa Cruz de Tenerife,Santa Cruz de Tenerife,,"Santa Cruz de Tenerife,Santa Cruz de Tenerife,Spain",-16.264540,28.460381,Spain,10/15/2011,5000,No,
